title,year,endYear,movie_id
Don't Dare to Dream,2016,2016,5936884
Don't Hesitate,2009,2010,5516034
Don't Look Back: The Legend of Orpheus,2013,2013,2932820
Doom at Your Service,2021,2021,13669128
Drama City: What Should I Do?,2004,2004,3107676
Drama City: What Should I Do?,2004,2004,3107676
Just an Ordinary Love Story,2012,2012,
Puberty Medley,2013,2013,
"Rock, Rock, Rock",2010,2010,
White Christmas,2011,2011,2441808
Don't Announce Your Husband's Death,2022,2022,
Find the 1st Prize,2022,2022,
The Apartment Is Beautiful,2022,2022,
Dream,2009,2009,
Dream High,2011,2011,1996607
Dream High 2,2012,2012,
Dream of the Emperor,2012,2013,
Drinking Solo,2016,2016,5950452
Dr. Brain,2021,2021,15758760
Dr. Champ,2010,2010,2462572
Dr. Frost,2014,2015,
Dr. Ian,2015,2015,
Dr. Jin,2012,2012,2426396
Dr. Kkang,2006,2006,
Dr. Park's Clinic,2022,2022,16970738
Dr. Romantic,2016,2020,6157190
Duel,2017,2017,6917250
Dummy Mommy,2012,2012,
East of Eden,2008,2009,1361356
Eccentric! Chef Moon,2020,2020,12226766
"Eight Days, Assassination Attempts against King Jeongjo",2007,2007,
"Eighteen, Twenty-Nine",2005,2005,
Emergency Couple,2014,2014,"3530644,4215764"
Emperor of the Sea,2004,2005,2061110
Empire of Gold,2013,2013,3364758
Empress Cheonchu,2009,2009,
Empress Ki,2013,2014,3322566
Empress Myeongseong,2001,2002,2288116
Enchanting Neighbor,2015,2015,4934240
Encounter,2018,2019,"8769260,6613952"
Endless Love,2014,2014,"2318092,5196024"
Autumn in My Heart,2000,2000,0294592
Spring Waltz,2006,2006,0810507
Summer Scent,2003,2003,0464627
Winter Sonata,2002,2002,0395057
Enemies from the Past,2017,2018,7904948
Entertainer,2016,2016,5637210
Entourage,2016,2016,5849698
Erexion,2006,2006,
Eve,2022,2022,20723826
Evergreen,2018,2018,9033634
Everybody Say Kimchi,2014,2014,
Exit,2018,2018,6285672
Exo Next Door,2015,2015,4775200
Extracurricular,2020,2020,10262630
Extraordinary Attorney Woo,2022,2022,"20869502,21167784"
Extraordinary You,2019,2019,10826102
Ex-Girlfriends' Club,2015,2015,4686328
Eyes of Dawn,1991,1992,3510914
Faith,2012,2012,"2373094,2371824"
Falling for Challenge,2015,2015,6289578
Familiar Wife,2018,2018,8487786
Family,2012,2013,
Family Secret,2014,2015,
Family's Honor,2008,2009,1688124
Fantastic,2016,2016,"3183660,3553976,4560008"
Fashion 70s,2005,2005,
Fashion King,2012,2012,"2305397,2471838"
Fatal Promise,2020,2020,
Fates & Furies,2018,2019,
"Father, I'll Take Care of You",2016,2017,6234380
Father's House,2009,2009,
Feast of the Gods,2012,2012,3216592
Feel Good to Die,2018,2018,
Fight for My Way,2017,2017,6824234
Find Me in Your Memory,2020,2020,11885790
Fireworks,2000,2000,0845439
Fireworks,2006,2006,0845439
First Lady,2023,2023,
First Love,1996,1997,
First Love Again,2016,2017,6444736
First Love of a Royal Prince,2004,2004,0966113
First Wives' Club,2007,2008,
Five Enough,2016,2016,"15578100,17497714,17497742,17498764,17498764,17498764"
Five Fingers,2012,2012,2242048
Flames of Desire,2010,2011,6201346
Flower Band,2012,2012,"2942950,2304041"
Flower Crew: Joseon Marriage Agency,2019,2019,10614024
Flower Grandpa Investigation Unit,2014,2014,
Flower of Evil,2020,2020,11691684
Flower of Queen,2015,2015,
Flower of Revenge,2013,2013,
Flower Scholars' Love Story,2023,2023,
Flowers of the Prison,2016,2016,
Fly High Butterfly,2022,2022,
Forbidden Love,2004,2004,0434737
Forecasting Love and Weather,2022,2022,15140592
Forest,2020,2020,8006374
Forever Young,2015,2015,4819470
Foundation of the Kingdom,1983,1983,
Four Sisters,2001,2001,
"Freedom Fighter, Lee Hoe-young",2010,2010,
Freeze,2006,2006,
"Friend, Our Legend",2009,2009,6354758
Friends,2002,2002,
"From Now On, Showtime!",2022,2022,19848464
Full House,2004,2004,0464625
Full House Take 2,2012,2012,
Gangnam Beauty,2018,2018,"8585954,8912344"
Gangnam Scandal,2018,2019,9376922
Gap-dong,2014,2014,3633394
Gaus Electronics,2022,2022,22873700
Get Karl! Oh Soo-jung,2007,2007,7516436
Get Revenge,2020,2021,13400034
Get Up,2008,2008,
Ghost Doctor,2022,2022,"16493854,18257396,21520826"
Giant,2010,2010,
Girls' Generation 1979,2017,2017,7278498
Glamorous Temptation,2015,2016,5129048
Glass Castle,2008,2009,
Glass Mask,2012,2013,3541356
Glass Slippers,2002,2002,3532844
Glitch,2022,2022,"14735382,13351606,15518878"
Gloria,2010,2011,
Glorious Day,2014,2014,5145650
Glory Jane,2011,2011,3364908
Go Back,2017,2017,"7418578,4828940,6841614"
God of War,2012,2012,
Goddess of Fire,2013,2013,3180386
Goddess of Marriage,2013,2013,3116358
God's Gift: 14 Days,2014,2014,3580170
"Gogh, The Starry Night",2016,2016,6058390
Gold Mask,2022,2022,
Golden Apple,2005,2006,0485218
Golden Bride,2007,2008,
Golden Cross,2014,2014,3681872
Golden Fish,2010,2010,5699298
Golden House,2010,2010,
Golden Pouch,2016,2017,6413376
Golden Rainbow,2013,2014,
Golden Time,2012,2012,2474948
Good Casting,2020,2020,10584436
Good Doctor,2013,2013,3184708
Good Job,2022,2022,22247864
"Good Job, Good Job",2009,2009,6270334
Good Manager,2017,2017,6352982
Goodbye Dear Wife,2012,2012,2508520
Goodbye Mr. Black,2016,2016,5546346
Goodbye My Love,1999,1999,
Goodbye Solo,2006,2006,0843194
Goodbye to Goodbye,2018,2018,8409646
Gourmet,2008,2008,
Graceful Family,2019,2019,10815362
Graceful Friends,2020,2020,12531492
Gracious Revenge,2019,2020,11133628
Grand Prince,2018,2018,7923624
Great Inheritance,2006,2006,9165770
Green Mothers' Club,2022,2022,15060900
Green Rose,2005,2005,0866597
Grid,2022,2022,
Grudge: The Revolt of Gumiho,2010,2010,15360330
Gu Family Book,2013,2013,2816734
Guardian Angel,2001,2001,
Guardian: The Lonely and Great God,2016,2017,5994364
Gunman in Joseon,2014,2014,3836378
"Gwanggaeto, The Great Conqueror",2011,2012,"4310982,15503062"
Gyebaek,2011,2011,
H.I.T,2007,2007,6283686
Haechi,2019,2019,9467164
Happiness,2021,2021,14979052
Happiness in the Wind,2010,2010,
Happy Ending,2012,2012,2311579
Happy Home,2016,2016,5347176
Happy Sisters,2017,2018,7795286
Happy Together,1999,1999,1113186
He Is Psychometric,2019,2019,9696162
He Who Can't Marry,2009,2009,15360012
Heading to the Ground,2009,2009,
Healer,2014,2015,4284216
Heard It Through the Grapevine,2015,2015,4507456
Heart Surgeons,2018,2018,8992866
Heart to Heart,2015,2015,
Heartless City,2013,2013,3089614
Hearts of Nineteen,2006,2007,18232852
Heartstrings,2011,2011,
Heaven & Earth,2007,2007,
Hell Is Other People,2019,2019,"10613844,10699580"
Hellbound,2021,2021,
Hello Franceska,2005,2006,0460364
Hello Monster,2015,2015,4803738
Hello My Teacher,2005,2005,2401365
"Hello, Me!",2021,2021,13670090
Hello! Miss,2007,2007,5145026
"Hello, My Twenties!",2016,2017,
Her Private Life,2019,2019,9899340
Here Comes Mr. Oh,2012,2013,5618336
Here's My Plan,2021,2021,14461244
Hero,2009,2010,
"Hi Bye, Mama!",2020,2020,11804034
Hi! School: Love On,2014,2014,
Hidden Identity,2015,2015,"4871736,4780416"
Hide and Seek,2018,2018,8575408
